,SBD,Toán,Văn,Ngoại ngữ,Sinh,Sử,Địa,GDCD,Hóa,Lí,sumD,sumC,sumB,sumA
495450,28000001,7.2,9.0,7.0,,4.5,5.25,7.0,,,23.2,18.75,7.2,7.2
495451,28000002,7.8,8.25,3.4,7.75,,,,7.75,4.5,19.45,8.25,23.3,20.05
495452,28000003,6.0,7.0,5.6,,3.25,5.25,7.5,,,18.6,15.5,6.0,6.0
495453,28000004,8.2,8.25,9.8,7.5,,,,6.75,9.0,26.25,8.25,22.45,23.95
495454,28000005,8.8,7.5,7.8,5.75,,,,5.0,8.0,24.1,7.5,19.55,21.8
495455,28000006,8.4,9.0,9.0,,7.0,7.0,9.0,,,26.4,23.0,8.4,8.4
495456,28000007,7.8,8.25,7.6,6.25,,,,4.75,7.75,23.65,8.25,18.8,20.3
495457,28000008,7.8,8.5,3.0,8.0,,,,8.25,3.25,19.3,8.5,24.05,19.3
495458,28000009,7.4,7.75,8.6,4.25,,,,4.25,7.0,23.75,7.75,15.9,18.65
495459,28000010,5.2,8.75,3.0,,4.25,3.5,6.25,,,16.95,16.5,5.2,5.2
495460,28000011,3.6,5.5,3.6,,4.75,5.25,8.5,,,12.7,15.5,3.6,3.6
495461,28000012,8.0,8.0,7.4,,4.25,5.25,8.5,,,23.4,17.5,8.0,8.0
495462,28000013,8.2,5.25,9.0,5.5,,,,4.25,7.5,22.45,5.25,17.95,19.95
495463,28000014,6.8,7.25,7.8,,6.75,7.0,9.25,,,21.85,21.0,6.8,6.8
495464,28000015,7.6,8.25,6.0,6.25,,,,7.5,8.0,21.85,8.25,21.35,23.1
495465,28000016,8.6,9.0,7.6,,4.5,5.25,8.25,,,25.200000000000003,18.75,8.6,8.6
495466,28000017,8.0,7.0,6.0,9.0,,,,8.0,4.25,21.0,7.0,25.0,20.25
495467,28000018,4.2,3.25,,,5.25,5.0,,,,7.45,13.5,4.2,4.2
495468,28000019,7.8,7.75,8.2,5.25,,,,4.5,6.75,23.75,7.75,17.55,19.05
495469,28000020,5.8,8.25,6.8,,3.75,6.25,8.75,,,20.85,18.25,5.8,5.8
495470,28000021,7.6,8.0,7.2,4.25,,,,3.0,4.75,22.8,8.0,14.85,15.35
495471,28000022,6.8,6.0,8.6,4.25,,,,3.75,4.0,21.4,6.0,14.8,14.55
495472,28000023,8.4,8.0,6.4,6.75,,,,7.75,8.75,22.799999999999997,8.0,22.9,24.9
495473,28000024,7.2,8.25,7.2,,4.0,5.75,7.5,,,22.65,18.0,7.2,7.2
495474,28000025,6.6,8.25,5.8,4.5,,,,2.75,4.0,20.65,8.25,13.85,13.35
495475,28000026,7.6,7.5,6.4,,5.5,6.75,7.75,,,21.5,19.75,7.6,7.6
495476,28000027,3.4,3.5,2.6,,4.25,6.5,7.25,,,9.5,14.25,3.4,3.4
495477,28000028,7.4,7.25,8.2,,5.5,4.5,7.75,,,22.85,17.25,7.4,7.4
495478,28000029,7.6,9.0,6.4,,6.25,6.0,8.5,,,23.0,21.25,7.6,7.6
495479,28000030,7.8,8.75,6.2,,4.5,5.75,7.0,,,22.75,19.0,7.8,7.8
495480,28000031,4.2,8.25,,,4.0,6.5,,,,12.45,18.75,4.2,4.2
495481,28000032,7.2,9.0,6.8,,4.75,6.0,8.5,,,23.0,19.75,7.2,7.2
495482,28000033,7.6,7.33,6.0,5.25,,,,7.75,4.5,20.93,7.33,20.6,19.85
495483,28000034,4.6,7.5,3.2,3.75,,,,4.0,5.5,15.3,7.5,12.35,14.1
495484,28000035,5.8,9.25,5.2,,4.5,4.5,8.25,,,20.25,18.25,5.8,5.8
495485,28000036,7.4,9.0,6.8,,3.75,6.0,7.5,,,23.2,18.75,7.4,7.4
495486,28000037,6.6,8.25,,,6.5,6.25,9.0,,,14.85,21.0,6.6,6.6
495487,28000038,8.8,6.25,5.4,6.25,,,,9.25,8.75,20.450000000000003,6.25,24.3,26.8
495488,28000039,4.2,5.0,,,5.25,4.0,,,,9.2,14.25,4.2,4.2
495489,28000040,4.6,3.75,4.8,,5.0,4.0,7.75,,,13.149999999999999,12.75,4.6,4.6
495490,28000041,7.6,8.5,8.2,,4.5,2.25,7.0,,,24.3,15.25,7.6,7.6
495491,28000042,8.0,7.0,8.4,4.25,,,,5.0,8.0,23.4,7.0,17.25,21.0
495492,28000043,7.4,9.0,8.2,,5.75,7.0,8.25,,,24.599999999999998,21.75,7.4,7.4
495493,28000044,6.0,6.5,2.8,,4.0,6.25,7.5,,,15.3,16.75,6.0,6.0
495494,28000045,5.2,7.75,5.0,,4.0,4.25,7.25,,,17.95,16.0,5.2,5.2
495495,28000046,8.4,8.5,7.2,6.75,,,,9.75,8.5,24.099999999999998,8.5,24.9,26.65
495496,28000047,8.0,7.75,6.2,6.0,,,,4.0,6.0,21.95,7.75,18.0,18.0
495497,28000048,7.4,9.25,8.8,,6.5,5.5,7.75,,,25.45,21.25,7.4,7.4
495498,28000049,8.4,9.0,6.6,,5.75,5.75,7.25,,,24.0,20.5,8.4,8.4
495499,28000050,7.8,8.75,9.2,7.0,,,,6.25,8.0,25.75,8.75,21.05,22.05
495500,28000051,4.8,5.5,4.0,,6.25,5.5,9.25,,,14.3,17.25,4.8,4.8
495501,28000052,3.8,7.25,,,6.0,6.75,,,,11.05,20.0,3.8,3.8
495502,28000053,8.0,8.5,9.4,,6.75,7.25,9.0,,,25.9,22.5,8.0,8.0
495503,28000054,4.6,6.0,4.4,,3.75,5.5,6.5,,,15.0,15.25,4.6,4.6
495504,28000055,8.4,7.5,6.0,6.0,,,,8.25,8.5,21.9,7.5,22.65,25.15
495505,28000056,7.2,8.75,8.0,,6.5,7.0,8.0,,,23.95,22.25,7.2,7.2
495506,28000057,7.8,9.0,7.8,,5.25,5.5,8.0,,,24.6,19.75,7.8,7.8
495507,28000058,6.6,7.5,6.0,,5.0,6.0,5.5,,,20.1,18.5,6.6,6.6
495508,28000059,2.2,6.5,2.8,,5.5,2.75,4.5,,,11.5,14.75,2.2,2.2
495509,28000060,2.4,5.5,,,4.0,4.25,,,,7.9,13.75,2.4,2.4
495510,28000061,7.0,5.0,7.4,4.0,,,,8.25,6.75,19.4,5.0,19.25,22.0
495511,28000062,6.4,8.5,8.0,,7.5,6.0,9.75,,,22.9,22.0,6.4,6.4
495512,28000063,6.8,8.75,9.2,,5.5,5.75,7.75,,,24.75,20.0,6.8,6.8
495513,28000064,8.2,7.0,7.8,6.75,,,,8.75,7.75,23.0,7.0,23.7,24.7
495514,28000065,7.8,8.5,4.2,,6.25,8.5,8.5,,,20.5,23.25,7.8,7.8
495515,28000066,5.6,7.5,4.2,,4.75,6.0,8.75,,,17.3,18.25,5.6,5.6
495516,28000067,7.2,8.5,6.8,,6.0,5.75,8.75,,,22.5,20.25,7.2,7.2
495517,28000068,3.4,5.75,,,3.5,5.25,,,,9.15,14.5,3.4,3.4
495518,28000069,4.8,4.25,4.0,,4.0,4.0,8.25,,,13.05,12.25,4.8,4.8
495519,28000070,7.8,8.25,6.8,5.75,,,,7.5,6.75,22.85,8.25,21.05,22.05
495520,28000071,4.8,8.75,5.8,,4.25,5.0,7.5,,,19.35,18.0,4.8,4.8
495521,28000072,8.0,9.0,8.4,,5.0,7.5,8.75,,,25.4,21.5,8.0,8.0
495522,28000073,8.4,8.75,8.8,6.75,,,,7.25,8.5,25.95,8.75,22.4,24.15
495523,28000074,8.0,8.75,7.8,,7.25,4.5,9.0,,,24.55,20.5,8.0,8.0
495524,28000075,8.0,9.25,7.0,,6.5,5.75,8.0,,,24.25,21.5,8.0,8.0
495525,28000076,4.6,8.0,4.2,,4.0,5.75,6.75,,,16.8,17.75,4.6,4.6
495526,28000077,6.2,8.0,7.0,,6.75,4.5,8.75,,,21.2,19.25,6.2,6.2
495527,28000078,7.4,9.0,8.8,,7.0,6.0,7.5,,,25.2,22.0,7.4,7.4
495528,28000079,7.6,8.5,9.2,,6.0,5.75,9.25,,,25.3,20.25,7.6,7.6
495529,28000080,8.2,8.25,8.6,6.0,,,,5.25,8.0,25.049999999999997,8.25,19.45,21.45
495530,28000081,2.2,5.5,,,5.0,6.75,,,,7.7,17.25,2.2,2.2
495531,28000082,6.8,8.0,7.6,,5.0,5.25,7.75,,,22.4,18.25,6.8,6.8
495532,28000083,4.4,8.0,5.0,,5.0,5.75,8.5,,,17.4,18.75,4.4,4.4
495533,28000084,6.2,8.75,5.0,,4.25,5.75,6.25,,,19.95,18.75,6.2,6.2
495534,28000085,6.4,9.0,7.0,,7.75,6.0,8.25,,,22.4,22.75,6.4,6.4
495535,28000086,5.4,6.75,8.2,5.25,,,,3.75,6.5,20.35,6.75,14.4,15.65
495536,28000087,7.6,8.75,9.4,,6.0,5.75,7.25,,,25.75,20.5,7.6,7.6
495537,28000088,8.0,8.0,,4.0,,,,7.75,6.5,16.0,8.0,19.75,22.25
495538,28000089,5.6,5.0,2.2,4.0,,,,7.0,7.75,12.8,5.0,16.6,20.35
495539,28000090,7.8,8.0,6.0,,6.0,5.25,8.5,,,21.8,19.25,7.8,7.8
495540,28000091,8.2,7.75,5.2,3.0,,,,7.5,7.75,21.15,7.75,18.7,23.45
495541,28000092,6.2,9.0,8.2,,5.0,5.5,9.25,,,23.4,19.5,6.2,6.2
495542,28000093,7.8,9.0,9.2,,7.0,6.75,9.0,,,26.0,22.75,7.8,7.8
495543,28000094,8.4,9.25,8.4,,5.25,7.0,8.75,,,26.049999999999997,21.5,8.4,8.4
495544,28000095,8.8,9.0,9.0,,8.25,6.5,8.5,,,26.8,23.75,8.8,8.8
495545,28000096,6.6,7.5,5.0,,7.75,6.25,9.25,,,19.1,21.5,6.6,6.6
495546,28000097,6.4,8.0,7.6,,8.0,6.0,7.0,,,22.0,22.0,6.4,6.4
495547,28000098,6.4,8.5,6.2,,6.75,5.25,9.0,,,21.1,20.5,6.4,6.4
495548,28000099,8.2,8.5,9.2,,5.25,6.0,8.75,,,25.9,19.75,8.2,8.2
495549,28000100,7.0,7.0,5.0,6.25,,,,7.75,8.25,19.0,7.0,21.0,23.0
495550,28000101,8.0,9.0,7.4,,6.5,6.25,7.75,,,24.4,21.75,8.0,8.0
495551,28000102,7.8,8.5,6.4,,3.0,6.75,7.75,,,22.700000000000003,18.25,7.8,7.8
495552,28000103,6.2,8.75,6.0,,5.25,5.5,7.5,,,20.95,19.5,6.2,6.2
495553,28000104,6.4,7.25,6.0,4.0,,,,6.25,7.0,19.65,7.25,16.65,19.65
495554,28000105,6.0,8.5,5.4,,6.0,5.25,8.75,,,19.9,19.75,6.0,6.0
495555,28000106,6.0,8.5,8.8,,6.25,7.25,6.75,,,23.3,22.0,6.0,6.0
495556,28000107,7.6,9.0,8.6,,7.0,6.75,9.5,,,25.200000000000003,22.75,7.6,7.6
495557,28000108,8.2,8.75,8.8,,6.25,5.25,8.25,,,25.75,20.25,8.2,8.2
495558,28000109,7.2,9.0,8.4,,4.25,5.75,8.25,,,24.6,19.0,7.2,7.2
495559,28000110,3.8,2.5,,,6.5,3.75,,,,6.3,12.75,3.8,3.8
495560,28000111,4.0,6.75,,,2.25,6.25,,,,10.75,15.25,4.0,4.0
495561,28000112,3.0,6.5,1.8,,3.5,3.5,6.0,,,11.3,13.5,3.0,3.0
495562,28000113,6.0,8.5,4.4,,9.0,7.0,7.75,,,18.9,24.5,6.0,6.0
495563,28000114,2.8,5.42,,,3.75,5.5,,,,8.219999999999999,14.67,2.8,2.8
495564,28000115,8.6,6.75,8.0,4.75,,,,8.25,8.5,23.35,6.75,21.6,25.35
495565,28000116,8.0,6.75,8.0,6.75,,,,8.5,3.25,22.75,6.75,23.25,19.75
495566,28000117,7.4,7.0,7.6,4.75,,,,5.25,7.75,22.0,7.0,17.4,20.4
495567,28000118,8.0,7.0,5.6,5.5,,,,8.0,8.75,20.6,7.0,21.5,24.75
495568,28000119,3.2,7.75,,,4.0,6.0,,,,10.95,17.75,3.2,3.2
495569,28000120,7.4,8.75,9.6,5.75,,,,4.75,4.0,25.75,8.75,17.9,16.15
495570,28000121,8.0,7.25,6.4,,3.25,5.0,8.0,,,21.65,15.5,8.0,8.0
495571,28000122,3.6,6.75,,,5.25,5.0,,,,10.35,17.0,3.6,3.6
495572,28000123,7.4,9.25,9.6,,4.5,5.25,9.0,,,26.25,19.0,7.4,7.4
